City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
87,Kaitangata,NZ,280.26,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
90,Pastavy,BY,284.65,broken clouds,55.1168,26.8326,Mini gostinitca Shirki
91,Hovd,MN,293.0,clear sky,48.0056,91.6419,Hotel Khovd
92,Upernavik,GL,277.77,overcast clouds,72.7868,-56.1549,Café de Upernavik
93,Olafsvik,IS,282.0,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
94,Puerto Ayora,EC,294.01,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Awbari,LY,298.25,clear sky,26.5921,12.7805,فندق أوباري
96,Port Elizabeth,ZA,286.66,broken clouds,-33.918,25.5701,39 On Nile Guest House
99,Alofi,NU,298.09,shower rain,-19.0595,-169.9187,Taloa Heights
100,Nouadhibou,MR,296.14,clear sky,20.930999999999997,-17.0347,El Medina
101,Coahuayana,MX,298.52,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
102,Qaqortoq,GL,278.54,few clouds,60.7167,-46.0333,Siniffik Inn
103,Ancud,CL,279.18,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
104,High Level,CA,299.21,few clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
105,Koping,SE,284.83,clear sky,59.513999999999996,15.9926,Best Western Hotel Scheele
106,East London,ZA,288.67,clear sky,-33.0153,27.9116,Tu Casa
107,Yellowknife,CA,292.44,broken clouds,62.456,-114.3525,The Explorer Hotel
108,Kharp,RU,293.08,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
109,Lebu,CL,282.36,few clouds,-37.6167,-73.65,Hostal Las Lilas
110,Finspang,SE,284.44,scattered clouds,58.7058,15.7674,Finspångs Slott - Gästflygeln
113,Yar-Sale,RU,292.15,broken clouds,66.8333,70.8333,Yalemd
114,Chinhoyi,ZW,283.76,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
116,Guanambi,BR,291.26,clear sky,-14.2233,-42.7814,Hotel Portal Guanambi
117,Codrington,AU,282.53,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
118,Gilbues,BR,291.98,clear sky,-9.8317,-45.3439,Hotel Camapuã
119,Stokmarknes,NO,282.14,broken clouds,68.5646,14.9108,Vesterålen Kysthotell
121,Isangel,VU,296.21,overcast clouds,-19.55,169.2667,Tanna Lodge
122,Mehamn,NO,283.12,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
124,Tevaitoa,PF,299.05,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
125,Kwekwe,ZW,280.22,clear sky,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
126,Vestmannaeyjar,IS,284.03,overcast clouds,63.4427,-20.2734,Glamping & Camping
127,Saldanha,ZA,279.18,clear sky,-33.0117,17.9442,Blue Bay Lodge
128,Biak,ID,299.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
131,Senador Canedo,BR,290.78,clear sky,-16.7081,-49.0931,Pousada NJ
133,Cidreira,BR,289.32,overcast clouds,-30.1811,-50.2056,Hotel Castelo
134,Osinovo,RU,292.2,few clouds,55.8809,48.881,Podkova Hotel
135,Colac,AU,283.8,light rain,-38.3333,143.5833,Otway Gate Motel
137,Constitucion,CL,282.06,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
138,Geraldton,AU,294.38,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
139,San Cristobal,VE,293.25,broken clouds,7.7669,-72.225,Pirineos
141,Ilulissat,GL,280.16,overcast clouds,69.2167,-51.1,Hotel Arctic
