City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
84,Arraial Do Cabo,BR,-22.9661,-42.0278,293.13,83,0,3.6,clear sky,2022-07-28 03:38:56
85,Goure,NE,13.9835,10.2704,297.05,72,97,6.71,overcast clouds,2022-07-28 03:43:01
86,Ergani,TR,38.2653,39.7621,298.7,26,0,2.59,clear sky,2022-07-28 03:43:02
87,Kaitangata,NZ,-46.2817,169.8464,280.26,93,100,3.39,overcast clouds,2022-07-28 03:43:02
88,Taoudenni,ML,22.6783,-3.9836,309.28,6,8,8.53,clear sky,2022-07-28 03:43:02
89,Butaritari,KI,3.0707,172.7902,300.84,78,11,5.6,light rain,2022-07-28 03:43:03
90,Pastavy,BY,55.1168,26.8326,284.65,90,54,2.31,broken clouds,2022-07-28 03:43:03
91,Hovd,MN,48.0056,91.6419,293.0,31,4,2.41,clear sky,2022-07-28 03:44:04
92,Upernavik,GL,72.7868,-56.1549,277.77,85,100,0.77,overcast clouds,2022-07-28 03:44:04
93,Olafsvik,IS,64.8945,-23.7142,282.0,87,100,12.24,overcast clouds,2022-07-28 03:43:57
94,Puerto Ayora,EC,-0.7393,-90.3518,294.01,96,98,4.47,overcast clouds,2022-07-28 03:40:10
95,Awbari,LY,26.5921,12.7805,298.25,16,0,2.81,clear sky,2022-07-28 03:44:05
96,Port Elizabeth,ZA,-33.918,25.5701,286.66,98,75,1.34,broken clouds,2022-07-28 03:39:40
97,Hithadhoo,MV,-0.6,73.0833,301.37,73,100,5.27,overcast clouds,2022-07-28 03:44:06
98,Anderson,US,34.5334,-82.6499,301.23,81,0,0.0,clear sky,2022-07-28 03:39:35
99,Alofi,NU,-19.0595,-169.9187,298.09,83,75,5.14,shower rain,2022-07-28 03:44:06
100,Nouadhibou,MR,20.931,-17.0347,296.14,83,4,10.8,clear sky,2022-07-28 03:44:07
101,Coahuayana,MX,18.7333,-103.6833,298.52,85,97,0.93,overcast clouds,2022-07-28 03:44:07
102,Qaqortoq,GL,60.7167,-46.0333,278.54,89,14,0.87,few clouds,2022-07-28 03:44:08
103,Ancud,CL,-41.8697,-73.8203,279.18,92,24,1.17,few clouds,2022-07-28 03:42:40
104,High Level,CA,58.5169,-117.136,299.21,53,20,2.06,few clouds,2022-07-28 03:44:08
105,Koping,SE,59.514,15.9926,284.83,75,10,1.94,clear sky,2022-07-28 03:44:09
106,East London,ZA,-33.0153,27.9116,288.67,88,0,2.06,clear sky,2022-07-28 03:40:00
107,Yellowknife,CA,62.456,-114.3525,292.44,63,75,5.36,broken clouds,2022-07-28 03:40:53
108,Kharp,RU,66.8014,65.8081,293.08,53,87,2.86,overcast clouds,2022-07-28 03:44:10
109,Lebu,CL,-37.6167,-73.65,282.36,85,21,2.14,few clouds,2022-07-28 03:44:05
110,Finspang,SE,58.7058,15.7674,284.44,80,33,1.74,scattered clouds,2022-07-28 03:44:11
111,Bandarban,BD,22.1965,92.2262,300.99,60,90,0.75,overcast clouds,2022-07-28 03:44:11
112,Cefalu,IT,38.0386,14.0229,300.67,72,0,0.45,clear sky,2022-07-28 03:44:12
113,Yar-Sale,RU,66.8333,70.8333,292.15,55,83,5.27,broken clouds,2022-07-28 03:44:12
114,Chinhoyi,ZW,-17.3667,30.2,283.76,80,0,1.77,clear sky,2022-07-28 03:44:15
115,Ypsonas,CY,34.6884,32.9574,302.19,44,0,1.54,clear sky,2022-07-28 03:44:15
116,Guanambi,BR,-14.2233,-42.7814,291.26,56,0,3.96,clear sky,2022-07-28 03:44:15
117,Codrington,AU,-38.2667,141.9667,282.53,89,100,3.14,overcast clouds,2022-07-28 03:44:16
118,Gilbues,BR,-9.8317,-45.3439,291.98,46,0,2.28,clear sky,2022-07-28 03:44:16
119,Stokmarknes,NO,68.5646,14.9108,282.14,87,75,2.06,broken clouds,2022-07-28 03:44:17
120,Katsuura,JP,35.1333,140.3,301.71,78,56,5.21,broken clouds,2022-07-28 03:44:17
121,Isangel,VU,-19.55,169.2667,296.21,94,100,1.03,overcast clouds,2022-07-28 03:44:18
122,Mehamn,NO,71.0357,27.8492,283.12,93,75,9.26,light rain,2022-07-28 03:44:18
123,Henties Bay,NA,-22.116,14.2845,284.59,84,1,0.55,clear sky,2022-07-28 03:44:19
124,Tevaitoa,PF,-16.7833,-151.5,299.05,76,13,11.91,light rain,2022-07-28 03:44:19
125,Kwekwe,ZW,-18.9281,29.8149,280.22,74,0,2.6,clear sky,2022-07-28 03:44:20
126,Vestmannaeyjar,IS,63.4427,-20.2734,284.03,74,97,7.59,overcast clouds,2022-07-28 03:44:20
127,Saldanha,ZA,-33.0117,17.9442,279.18,69,0,3.39,clear sky,2022-07-28 03:44:20
128,Biak,ID,-0.9131,122.8766,299.97,77,95,4.17,overcast clouds,2022-07-28 03:44:21
129,Vinh,VN,18.6667,105.6667,305.61,63,9,1.39,clear sky,2022-07-28 03:40:52
130,Rundu,NA,-17.9333,19.7667,284.12,46,30,2.58,scattered clouds,2022-07-28 03:44:22
131,Senador Canedo,BR,-16.7081,-49.0931,290.78,63,0,1.03,clear sky,2022-07-28 03:39:52
132,Arman,RU,59.7,150.1667,297.05,69,30,3.85,scattered clouds,2022-07-28 03:44:23
133,Cidreira,BR,-30.1811,-50.2056,289.32,88,100,2.15,overcast clouds,2022-07-28 03:44:24
134,Osinovo,RU,55.8809,48.881,292.2,72,20,2.21,few clouds,2022-07-28 03:45:24
135,Colac,AU,-38.3333,143.5833,283.8,93,100,2.46,light rain,2022-07-28 03:45:24
136,Teya,RU,60.3778,92.6267,291.6,65,99,0.72,overcast clouds,2022-07-28 03:45:25
137,Constitucion,CL,-35.3333,-72.4167,282.06,73,6,2.21,clear sky,2022-07-28 03:45:25
138,Geraldton,AU,-28.7667,114.6,294.38,68,40,3.6,scattered clouds,2022-07-28 03:45:25
139,San Cristobal,VE,7.7669,-72.225,293.25,94,52,0.98,broken clouds,2022-07-28 03:45:10
140,Staryy Nadym,RU,65.6118,72.6842,291.93,49,47,4.32,scattered clouds,2022-07-28 03:45:26
141,Ilulissat,GL,69.2167,-51.1,280.16,93,100,0.51,overcast clouds,2022-07-28 03:45:27
142,Panama City,PA,8.9936,-79.5197,298.31,92,75,2.06,broken clouds,2022-07-28 03:44:27
143,Nemuro,JP,43.3236,145.575,291.46,91,43,2.19,scattered clouds,2022-07-28 03:45:27
144,Basco,PH,20.4487,121.9702,302.97,76,95,6.19,overcast clouds,2022-07-28 03:45:28
145,Udimskiy,RU,61.1417,45.9144,293.18,73,14,3.43,few clouds,2022-07-28 03:45:28
146,Paramonga,PE,-10.6667,-77.8333,289.93,85,80,3.9,broken clouds,2022-07-28 03:45:29
147,Hervey Bay,AU,-25.2986,152.8535,292.43,54,3,4.16,clear sky,2022-07-28 03:45:29
148,Nhulunbuy,AU,-12.2333,136.7667,301.49,57,20,7.72,few clouds,2022-07-28 03:45:31
149,Lazaro Cardenas,MX,17.9583,-102.2,299.76,80,100,1.8,overcast clouds,2022-07-28 03:45:31
150,Saskylakh,RU,71.9167,114.0833,296.59,51,84,3.67,broken clouds,2022-07-28 03:45:32
151,Mildura,AU,-34.2,142.15,289.3,62,60,4.79,broken clouds,2022-07-28 03:45:32
152,Avarua,CK,-21.2078,-159.775,298.18,69,40,5.66,scattered clouds,2022-07-28 03:45:32
153,Baykit,RU,61.67,96.37,293.53,79,100,1.55,overcast clouds,2022-07-28 03:45:33
154,Mikkeli,FI,61.6886,27.2723,288.79,94,40,3.09,scattered clouds,2022-07-28 03:45:34
155,Victoria,HK,22.2855,114.1577,306.62,71,0,2.24,clear sky,2022-07-28 03:41:16
156,Santa Maria,BR,-29.6842,-53.8069,288.76,100,40,0.0,fog,2022-07-28 03:44:19
157,Bambous Virieux,MU,-20.3428,57.7575,293.83,88,40,3.09,scattered clouds,2022-07-28 03:45:07
158,Praya,CV,14.9215,-23.5087,299.45,83,20,0.51,few clouds,2022-07-28 03:45:35
159,Kinston,US,35.2627,-77.5816,300.51,88,0,2.06,clear sky,2022-07-28 03:45:35
160,Ukiah,US,39.1502,-123.2078,304.09,23,0,3.09,clear sky,2022-07-28 03:45:36
161,Kruisfontein,ZA,-34.0033,24.7314,284.11,91,2,2.29,clear sky,2022-07-28 03:45:36
162,Shelburne,CA,44.0787,-80.2041,293.4,86,21,3.44,few clouds,2022-07-28 03:45:36
163,Nizhnevartovsk,RU,60.9344,76.5531,291.16,77,0,3.0,clear sky,2022-07-28 03:45:37
164,Bay Roberts,CA,47.5999,-53.2648,291.11,93,10,2.24,clear sky,2022-07-28 03:45:37
165,Numazu,JP,35.1,138.8667,300.94,74,40,3.01,scattered clouds,2022-07-28 03:45:37
166,Barkot,IN,30.8167,78.2,295.69,95,100,0.79,overcast clouds,2022-07-28 03:45:38
167,Esperance,AU,-33.8667,121.9,291.94,45,2,7.24,clear sky,2022-07-28 03:45:38
168,Ribeira Grande,PT,38.5167,-28.7,295.66,83,25,4.21,scattered clouds,2022-07-28 03:45:39
169,Progreso,MX,21.2833,-89.6667,297.1,81,67,6.32,broken clouds,2022-07-28 03:45:39
170,Jenjarom,MY,2.8766,101.4988,306.23,63,26,3.61,scattered clouds,2022-07-28 03:45:39
171,Catuday,PH,16.2923,119.8062,301.94,72,99,2.37,overcast clouds,2022-07-28 03:45:40
172,Naze,JP,28.3667,129.4833,303.66,82,68,7.06,broken clouds,2022-07-28 03:45:40
173,Hermanus,ZA,-34.4187,19.2345,285.26,79,0,5.46,clear sky,2022-07-28 03:45:05
174,Ranfurly,NZ,-45.1333,170.1,279.88,90,100,2.08,overcast clouds,2022-07-28 03:45:41
175,Pangkalanbuun,ID,-2.6833,111.6167,304.2,61,86,1.87,overcast clouds,2022-07-28 03:45:41
176,Illescas,ES,40.1221,-3.847,300.47,34,0,2.7,clear sky,2022-07-28 03:45:42
177,Matara,LK,5.9485,80.5353,300.76,75,94,3.76,overcast clouds,2022-07-28 03:45:42
178,Narasannapeta,IN,18.4167,84.05,303.41,68,96,1.83,overcast clouds,2022-07-28 03:45:43
179,Manokwari,ID,-0.8667,134.0833,302.21,68,68,4.35,broken clouds,2022-07-28 03:46:43
180,Roebourne,AU,-20.7833,117.1333,299.42,36,0,8.03,clear sky,2022-07-28 03:46:43
181,Ouesso,CG,1.6136,16.0517,294.65,93,79,0.61,broken clouds,2022-07-28 03:46:44
182,Khatanga,RU,71.9667,102.5,295.59,45,94,1.83,overcast clouds,2022-07-28 03:46:44
183,Provideniya,RU,64.3833,-173.3,280.21,100,100,3.13,mist,2022-07-28 03:45:02
184,Salalah,OM,17.0151,54.0924,298.2,94,100,3.09,haze,2022-07-28 03:46:45
185,Surt,LY,31.2089,16.5887,298.76,63,0,1.56,clear sky,2022-07-28 03:46:46
186,Neka,IR,36.6508,53.299,297.88,94,100,3.09,mist,2022-07-28 03:46:46
187,Svetlyy,RU,54.675,20.1347,288.18,80,86,6.64,overcast clouds,2022-07-28 03:46:46
188,Harboore,DK,56.6175,8.1807,284.92,76,25,8.21,scattered clouds,2022-07-28 03:46:47
189,Lira,UG,2.235,32.9097,289.46,94,90,1.61,light rain,2022-07-28 03:46:48
190,Thinadhoo,MV,0.5333,72.9333,301.61,73,95,6.17,overcast clouds,2022-07-28 03:46:48
191,Shintomi,JP,32.0785,131.4723,302.77,71,27,5.03,scattered clouds,2022-07-28 03:46:49
192,Mana,GF,5.6592,-53.7767,297.47,90,96,1.77,overcast clouds,2022-07-28 03:46:49
193,Kanel,SN,15.4916,-13.1763,302.15,70,0,6.17,clear sky,2022-07-28 03:46:49
194,Manavalakurichi,IN,8.1333,77.3,300.59,75,48,4.43,scattered clouds,2022-07-28 03:46:50
195,Tiksi,RU,71.6872,128.8694,294.5,56,90,3.37,overcast clouds,2022-07-28 03:46:51
196,Natal,BR,-5.795,-35.2094,296.27,94,0,2.57,clear sky,2022-07-28 03:44:19
197,Thompson,CA,55.7435,-97.8558,288.24,88,75,1.03,broken clouds,2022-07-28 03:45:01
198,Itaituba,BR,-4.2761,-55.9836,298.76,58,66,1.06,broken clouds,2022-07-28 03:46:52
199,Komsomolskiy,UZ,40.4272,71.7189,304.55,30,4,4.12,clear sky,2022-07-28 03:46:52
200,Kazanskaya,RU,45.4106,40.4361,293.97,55,0,2.03,clear sky,2022-07-28 03:46:53
201,Amboasary,MG,-25.0333,46.3833,290.7,83,13,1.78,few clouds,2022-07-28 03:46:54
202,Nanga Eboko,CM,4.6833,12.3667,292.95,98,100,1.43,overcast clouds,2022-07-28 03:46:54
203,Padang,ID,-0.9492,100.3543,301.18,57,24,1.97,few clouds,2022-07-28 03:43:46
204,Lubbock,US,33.6001,-101.8338,306.29,22,20,4.12,few clouds,2022-07-28 03:45:29
205,Hamilton,US,39.1834,-84.5333,297.91,91,0,1.54,clear sky,2022-07-28 03:45:30
206,Tuatapere,NZ,-46.1333,167.6833,280.2,93,100,1.63,light rain,2022-07-28 03:42:47
207,Coquimbo,CL,-29.9533,-71.3436,285.0,93,75,0.51,broken clouds,2022-07-28 03:43:45
208,Fort Nelson,CA,58.8053,-122.7002,299.92,47,20,2.06,few clouds,2022-07-28 03:46:56
209,Lata,PT,40.1629,-8.3327,285.9,92,0,0.66,clear sky,2022-07-28 03:46:56
210,Skjervoy,NO,70.0311,20.9714,283.15,87,100,6.11,light rain,2022-07-28 03:46:56
211,Gizo,SB,-8.103,156.8419,302.15,70,10,3.76,clear sky,2022-07-28 03:46:57
212,Georgetown,MY,5.4112,100.3354,305.11,73,20,4.12,few clouds,2022-07-28 03:46:38
213,Sabha,LY,27.0377,14.4283,299.28,16,0,4.19,clear sky,2022-07-28 03:46:58
214,Plettenberg Bay,ZA,-34.0527,23.3716,286.25,73,0,2.66,clear sky,2022-07-28 03:46:58
215,Bandundu,CD,-3.3167,17.3667,295.8,58,78,1.66,broken clouds,2022-07-28 03:46:59
216,Santiago,CL,-33.4569,-70.6483,284.98,83,75,0.0,broken clouds,2022-07-28 03:45:58
217,Tinglev,DK,54.931,9.2524,286.34,93,98,2.06,overcast clouds,2022-07-28 03:46:59
218,Baracoa,CU,20.3467,-74.4958,299.01,84,56,5.35,broken clouds,2022-07-28 03:46:59
219,Kaeo,NZ,-35.1,173.7833,289.44,81,48,5.75,scattered clouds,2022-07-28 03:47:00
220,Pontianak,ID,-0.0333,109.3333,304.14,66,75,2.06,broken clouds,2022-07-28 03:47:00
221,Pangai,TO,-19.8,-174.35,300.21,78,20,8.23,few clouds,2022-07-28 03:48:01
222,Fare,PF,-16.7,-151.0167,298.69,77,12,11.63,light rain,2022-07-28 03:48:01
223,Polson,US,47.6936,-114.1632,298.02,53,0,2.66,clear sky,2022-07-28 03:48:02
224,Westport,US,41.1415,-73.3579,297.64,89,0,3.09,clear sky,2022-07-28 03:48:02
225,Ongole,IN,15.5,80.05,303.55,65,19,2.44,few clouds,2022-07-28 03:48:03
226,Plymouth,US,41.8334,-70.8328,295.83,75,0,0.0,clear sky,2022-07-28 03:48:03
227,Vila,PT,42.0304,-8.1588,284.64,85,4,0.45,clear sky,2022-07-28 03:48:04
228,Ponta Delgada,PT,37.7333,-25.6667,295.55,94,75,1.54,light intensity drizzle,2022-07-28 03:48:04
229,Ushtobe,KZ,45.2514,77.9838,301.5,38,97,5.52,overcast clouds,2022-07-28 03:48:05
230,Katangli,RU,51.7102,143.2326,289.25,76,64,4.56,broken clouds,2022-07-28 03:48:05
231,Chornyanka,UA,46.6522,33.359,296.63,55,3,1.62,clear sky,2022-07-28 03:48:05
232,Nanortalik,GL,60.1432,-45.2371,278.87,85,97,4.24,overcast clouds,2022-07-28 03:48:06
233,Itarema,BR,-2.9248,-39.9167,298.59,83,83,6.41,broken clouds,2022-07-28 03:45:13
234,Lompoc,US,34.6391,-120.4579,291.23,85,100,5.66,overcast clouds,2022-07-28 03:48:06
235,Palmas,BR,-10.2128,-48.3603,295.08,64,0,2.57,clear sky,2022-07-28 03:48:07
236,Aiken,US,33.5835,-81.5998,302.65,74,40,3.09,scattered clouds,2022-07-28 03:47:13
237,Andenes,NO,69.3143,16.1194,282.14,93,75,6.17,light intensity drizzle,2022-07-28 03:48:08
238,Garoua,CM,9.3,13.4,295.57,92,100,1.48,overcast clouds,2022-07-28 03:48:08
239,San Isidro,PE,-12.1167,-77.05,289.27,89,100,4.12,overcast clouds,2022-07-28 03:48:08
240,Gimbi,ET,9.1667,35.8333,285.74,99,100,0.56,moderate rain,2022-07-28 03:48:09
241,Hasaki,JP,35.7333,140.8333,309.42,78,77,7.13,broken clouds,2022-07-28 03:45:10
242,Carbonia,IT,39.1672,8.5222,296.51,74,0,2.92,clear sky,2022-07-28 03:48:09
243,Chara,RU,56.9064,118.2631,296.97,48,100,1.18,overcast clouds,2022-07-28 03:48:10
244,Karatau,KZ,43.1667,70.4667,302.8,25,33,1.81,scattered clouds,2022-07-28 03:48:10
245,Jadu,LY,31.953,12.0261,297.38,31,0,4.18,clear sky,2022-07-28 03:48:11
246,Guskhara,IN,23.5,87.75,306.75,53,100,2.69,overcast clouds,2022-07-28 03:48:11
247,Portland,US,45.5234,-122.6762,305.48,53,4,1.79,clear sky,2022-07-28 03:46:06
248,Sitka,US,57.0531,-135.33,289.09,72,100,2.57,overcast clouds,2022-07-28 03:48:12
249,Hambantota,LK,6.1241,81.1185,298.34,100,20,2.06,few clouds,2022-07-28 03:44:00
250,Port Hedland,AU,-20.3167,118.5667,301.18,36,0,6.69,clear sky,2022-07-28 03:48:13
251,Coolum Beach,AU,-26.5333,153.1,294.32,53,3,2.88,clear sky,2022-07-28 03:48:13
252,Asosa,ET,10.0667,34.5333,288.03,90,100,1.61,light rain,2022-07-28 03:48:13
253,Marasesti,RO,45.8833,27.2333,292.93,66,31,4.0,scattered clouds,2022-07-28 03:48:14
254,Solnechnyy,RU,50.7214,136.6319,300.4,57,100,2.61,overcast clouds,2022-07-28 03:45:06
255,Nome,US,64.5011,-165.4064,285.46,82,75,5.66,broken clouds,2022-07-28 03:48:02
256,Fukue,JP,32.6881,128.8419,304.35,70,40,5.14,scattered clouds,2022-07-28 03:48:14
257,Bantry,IE,51.6833,-9.45,287.47,88,100,2.5,overcast clouds,2022-07-28 03:48:16
258,Tasiilaq,GL,65.6145,-37.6368,278.24,96,92,2.47,overcast clouds,2022-07-28 03:48:16
259,Babu,CN,24.4167,111.5167,307.95,51,100,2.0,overcast clouds,2022-07-28 03:48:17
260,San Patricio,US,28.017,-97.5169,303.09,72,3,5.82,clear sky,2022-07-28 03:48:17
261,Juli,PE,-16.2167,-69.45,276.52,63,17,0.71,few clouds,2022-07-28 03:48:18
262,Arcata,US,40.8665,-124.0828,288.26,88,100,1.54,fog,2022-07-28 03:48:19
263,Anbu,CN,23.449,116.6809,307.11,62,20,1.0,few clouds,2022-07-28 03:48:19
